Hash	Code	Message	KeyId	UTC
3af2650291b15bbfe929664c6c5973e2	RequestException	HTTPSConnectionPool(host='virusshare.com', port=443): Max retries exceeded with url: /apiv2/file?apikey=GDQlqcMwD7P2LI8zrrtxuHFKyi9bSlST&hash=3af2650291b15bbfe929664c6c5973e2 (Caused by NameResolutionError("HTTPSConnection(host='virusshare.com', port=443): Failed to resolve 'virusshare.com' ([Errno 11001] getaddrinfo failed)"))	Key-VS-1 (GDQl...SlST)	2026-05-17T07:22:55.483181+00:00
7b5325f5f0247c06a8f3452653597c45	RequestException	HTTPSConnectionPool(host='virusshare.com', port=443): Max retries exceeded with url: /apiv2/file?apikey=GDQlqcMwD7P2LI8zrrtxuHFKyi9bSlST&hash=7b5325f5f0247c06a8f3452653597c45 (Caused by NameResolutionError("HTTPSConnection(host='virusshare.com', port=443): Failed to resolve 'virusshare.com' ([Errno 11001] getaddrinfo failed)"))	Key-VS-1 (GDQl...SlST)	2026-05-17T07:52:11.099175+00:00
ee463bd333e9b56a7f791b909f56328f	RequestException	('Connection aborted.', ConnectionResetError(10054, 'Se ha forzado la interrupción de una conexión existente por el host remoto', None, 10054, None))	Key-VS-1 (GDQl...SlST)	2026-05-17T20:19:04.903637+00:00
05c67932416bed2d1ecffc16035b8e24	RequestException	HTTPSConnectionPool(host='virusshare.com', port=443): Max retries exceeded with url: /apiv2/file?apikey=GDQlqcMwD7P2LI8zrrtxuHFKyi9bSlST&hash=05c67932416bed2d1ecffc16035b8e24 (Caused by NameResolutionError("HTTPSConnection(host='virusshare.com', port=443): Failed to resolve 'virusshare.com' ([Errno 11001] getaddrinfo failed)"))	Key-VS-1 (GDQl...SlST)	2026-05-18T09:20:22.438958+00:00
88e0bff6aa7da90688fda228623ee653	RequestException	HTTPSConnectionPool(host='virusshare.com', port=443): Max retries exceeded with url: /apiv2/file?apikey=GDQlqcMwD7P2LI8zrrtxuHFKyi9bSlST&hash=88e0bff6aa7da90688fda228623ee653 (Caused by NameResolutionError("HTTPSConnection(host='virusshare.com', port=443): Failed to resolve 'virusshare.com' ([Errno 11001] getaddrinfo failed)"))	Key-VS-1 (GDQl...SlST)	2026-05-18T09:30:22.388749+00:00
de05a5386fba3e7e2e8a43b289a4ded4	RequestException	('Connection aborted.', ConnectionResetError(10054, 'Se ha forzado la interrupción de una conexión existente por el host remoto', None, 10054, None))	Key-VS-1 (GDQl...SlST)	2026-05-19T01:02:17.960981+00:00
ec55c189258010b890a097cd864ce618	RequestException	('Connection aborted.', ConnectionResetError(10054, 'Se ha forzado la interrupción de una conexión existente por el host remoto', None, 10054, None))	Key-VS-1 (GDQl...SlST)	2026-05-19T02:38:25.352304+00:00
00f2dd23dfa5e000c220074cdb54a7b1	RequestException	('Connection aborted.', ConnectionResetError(10054, 'Se ha forzado la interrupción de una conexión existente por el host remoto', None, 10054, None))	Key-VS-1 (GDQl...SlST)	2026-05-20T16:40:34.499384+00:00
2addde9b8763eda29ec86c2c964b907f	RequestException	('Connection aborted.', ConnectionResetError(10054, 'Se ha forzado la interrupción de una conexión existente por el host remoto', None, 10054, None))	Key-VS-1 (GDQl...SlST)	2026-05-20T16:41:20.241670+00:00
11bdaa6d9a2ba575d738eab141ce01dd	RequestException	HTTPSConnectionPool(host='virusshare.com', port=443): Max retries exceeded with url: /apiv2/file?apikey=GDQlqcMwD7P2LI8zrrtxuHFKyi9bSlST&hash=11bdaa6d9a2ba575d738eab141ce01dd (Caused by NameResolutionError("HTTPSConnection(host='virusshare.com', port=443): Failed to resolve 'virusshare.com' ([Errno 11001] getaddrinfo failed)"))	Key-VS-1 (GDQl...SlST)	2026-05-21T03:27:41.220959+00:00
8e868aff3bb0466124d2a51507d2686b	RequestException	HTTPSConnectionPool(host='virusshare.com', port=443): Max retries exceeded with url: /apiv2/file?apikey=GDQlqcMwD7P2LI8zrrtxuHFKyi9bSlST&hash=8e868aff3bb0466124d2a51507d2686b (Caused by NameResolutionError("HTTPSConnection(host='virusshare.com', port=443): Failed to resolve 'virusshare.com' ([Errno 11001] getaddrinfo failed)"))	Key-VS-1 (GDQl...SlST)	2026-05-21T04:26:38.395715+00:00
febdca117feb5dc29852efae20823db7	RequestException	HTTPSConnectionPool(host='virusshare.com', port=443): Max retries exceeded with url: /apiv2/file?apikey=GDQlqcMwD7P2LI8zrrtxuHFKyi9bSlST&hash=febdca117feb5dc29852efae20823db7 (Caused by NameResolutionError("HTTPSConnection(host='virusshare.com', port=443): Failed to resolve 'virusshare.com' ([Errno 11001] getaddrinfo failed)"))	Key-VS-1 (GDQl...SlST)	2026-05-22T07:30:43.876307+00:00
452ef013eefb48d5ed709e5b8f972094	RequestException	HTTPSConnectionPool(host='virusshare.com', port=443): Max retries exceeded with url: /apiv2/file?apikey=GDQlqcMwD7P2LI8zrrtxuHFKyi9bSlST&hash=452ef013eefb48d5ed709e5b8f972094 (Caused by NameResolutionError("HTTPSConnection(host='virusshare.com', port=443): Failed to resolve 'virusshare.com' ([Errno 11001] getaddrinfo failed)"))	Key-VS-1 (GDQl...SlST)	2026-05-22T08:32:13.707275+00:00
